Date,Open,High,Low,Close,Volume
5/25/2021 9:15,153.6,154.5,153.4,153.8,1813624
5/25/2021 9:20,153.95,154.1,153.5,154.05,589419
5/25/2021 9:25,154.05,155.25,154,154.7,1218347
5/25/2021 9:30,154.65,154.95,154,154.25,619111
5/25/2021 9:35,154.35,154.4,153.7,153.9,455959
5/25/2021 9:40,153.9,154.15,153.8,154.05,259887
5/25/2021 9:45,154,154.05,153.4,153.45,359612
5/25/2021 9:50,153.45,153.55,152.85,153.15,513620
5/25/2021 9:55,153.15,153.7,153.1,153.5,231047
5/25/2021 10:00,153.4,153.95,153.35,153.75,317317
5/25/2021 10:05,153.65,153.8,153.05,153.15,195908
5/25/2021 10:10,153.25,153.35,153.1,153.2,125315
5/25/2021 10:15,153.25,153.5,153.05,153.05,121167
5/25/2021 10:20,153.15,153.85,152.95,153.75,354930
5/25/2021 10:25,153.7,154.15,153.65,154.1,287003
5/25/2021 10:30,154.05,154.1,153.7,153.8,130404
5/25/2021 10:35,153.8,154,153.75,153.8,124611
5/25/2021 10:40,153.8,153.9,153.55,153.6,82993
5/25/2021 10:45,153.7,153.7,153.1,153.3,270519
5/25/2021 10:50,153.3,153.7,153.25,153.6,83755
5/25/2021 10:55,153.65,153.75,153.4,153.45,59994
5/25/2021 11:00,153.4,153.5,153.2,153.2,53234
5/25/2021 11:05,153.2,153.3,153.1,153.15,80154
5/25/2021 11:10,153.15,153.3,153,153.15,108290
5/25/2021 11:15,153,153.15,152.8,153,244157
5/25/2021 11:20,153,153,152.75,152.75,108720
5/25/2021 11:25,152.75,153,152.55,152.7,140314
5/25/2021 11:30,152.7,153.1,152.65,152.75,404489
5/25/2021 11:35,152.7,152.75,152.15,152.3,300230
5/25/2021 11:40,152.3,152.45,152.2,152.35,100063
5/25/2021 11:45,152.3,152.4,151.95,152.15,277800
5/25/2021 11:50,152.15,152.9,152.1,152.65,202776
5/25/2021 11:55,152.65,153,152.45,152.8,153528
5/25/2021 12:00,152.8,152.9,152.55,152.6,48823
5/25/2021 12:05,152.6,152.65,152.4,152.5,67904
5/25/2021 12:10,152.55,152.75,152.3,152.6,87305
5/25/2021 12:15,152.6,152.9,152.6,152.85,89399
5/25/2021 12:20,152.85,152.9,152.75,152.8,78750
5/25/2021 12:25,152.9,153.3,152.4,152.4,278608
5/25/2021 12:30,152.4,152.6,152.3,152.45,115324
5/25/2021 12:35,152.45,152.55,152.4,152.5,32246
5/25/2021 12:40,152.4,152.5,152.05,152.2,195450
5/25/2021 12:45,152.2,152.3,151.8,151.95,278177
5/25/2021 12:50,152,152.3,151.9,152.2,95024
5/25/2021 12:55,152.2,152.55,152.2,152.4,88386
5/25/2021 13:00,152.4,152.8,152.4,152.8,107586
5/25/2021 13:05,152.8,154.15,152.75,154,925350
5/25/2021 13:10,154.1,154.15,153.55,154.05,468246
5/25/2021 13:15,154.05,154.25,154,154.1,330634
5/25/2021 13:20,154.1,154.15,153.85,154.1,325181
5/25/2021 13:25,154.1,154.15,153.85,153.9,361049
5/25/2021 13:30,153.9,154.1,153.85,154,173395
5/25/2021 13:35,154.05,154.15,154,154.05,196275
5/25/2021 13:40,154,154.35,154,154.3,182234
5/25/2021 13:45,154.3,154.45,154.15,154.25,289285
5/25/2021 13:50,154.3,155.15,154.2,155.05,993833
5/25/2021 13:55,155.05,155.25,155,155.05,546379
5/25/2021 14:00,155.1,155.75,155.05,155.2,1049827
5/25/2021 14:05,155.1,155.2,154.35,154.4,464035
5/25/2021 14:10,154.45,154.65,154,154.15,553235
5/25/2021 14:15,154.2,154.3,153.75,153.75,360097
5/25/2021 14:20,153.75,154.1,153.75,154,364820
5/25/2021 14:25,154.05,154.7,154,154.45,314620
